Transaction ID,Account ID,Date,Description,Amount,Type,Category,Running Balance
TXN-90001,ACCT-4521,2026-04-08T14:23:00Z,Direct Deposit - Employer,2450.0,Credit,Income,3842.56
TXN-90002,ACCT-4521,2026-04-07T09:15:00Z,Grocery Mart,-87.43,Debit,Groceries,1392.56
TXN-90003,ACCT-4521,2026-04-06T16:42:00Z,Electric Utility Co,-142.3,Debit,Utilities,1479.99
TXN-90004,ACCT-4521,2026-04-05T11:00:00Z,ATM Withdrawal,-200.0,Debit,Cash,1622.29
TXN-90005,ACCT-4521,2026-04-04T08:30:00Z,Transfer from Savings,500.0,Credit,Transfer,1822.29
TXN-90006,ACCT-4521,2026-04-03T19:22:00Z,Online Subscription Service,-14.99,Debit,Entertainment,1322.29
TXN-90007,ACCT-4521,2026-04-02T12:10:00Z,Restaurant - Corner Bistro,-45.67,Debit,Dining,1337.28
TXN-90008,ACCT-4521,2026-04-01T10:00:00Z,Mortgage Payment,-1850.0,Debit,Housing,1382.95
TXN-90009,ACCT-4521,2026-03-31T14:45:00Z,Gas Station,-52.18,Debit,Transportation,3232.95
TXN-90010,ACCT-4521,2026-03-30T08:00:00Z,Payroll - Employer,2450.0,Credit,Income,3285.13
TXN-91001,ACCT-7834,2026-04-05T11:00:00Z,Transfer to Checking,-500.0,Debit,Transfer,12500.0
TXN-91002,ACCT-7834,2026-04-01T00:00:00Z,Interest Payment,8.75,Credit,Interest,13000.0
TXN-91003,ACCT-7834,2026-03-15T09:00:00Z,Automatic Savings Transfer,250.0,Credit,Transfer,12991.25
TXN-92001,ACCT-6612,2026-04-08T10:30:00Z,Direct Deposit - Employer,1875.0,Credit,Income,1523.89
TXN-92002,ACCT-6612,2026-04-07T15:20:00Z,Coffee Shop,-6.75,Debit,Dining,-351.11
TXN-92003,ACCT-6612,2026-04-06T09:00:00Z,Rent Payment,-1400.0,Debit,Housing,-344.36
TXN-92004,ACCT-6612,2026-04-03T13:45:00Z,Online Shopping,-67.22,Debit,Shopping,1055.64
TXN-93001,ACCT-3378,2026-04-09T08:00:00Z,Payroll Deposit,3200.0,Credit,Income,8921.33
TXN-93002,ACCT-3378,2026-04-07T14:00:00Z,Auto Insurance,-185.0,Debit,Insurance,5721.33
TXN-93003,ACCT-3378,2026-04-05T10:30:00Z,Transfer to Savings,-1000.0,Debit,Transfer,5906.33
